Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CYBERCITY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
283,WP,2748/2021,2021,202121852,,,,,,,,
284,WP,40668/2017,2017,201919279,,,,,,,,
285,WP,39043/2017,2017,201919202,,,,,,,,
286,WP,19876/2017,2017,201919205,,,,,,,,
287,WP,26428/2022,2022,202224602,,,,,,,,
288,WP,29265/2019,2019,202020277,,,,,,,,
289,WP,28749/2023,2023,202328824,,,,,,,,
290,WP,7087/2021,2021,202328176,,,,,,,,
291,WP,18457/2017,2017,201718454,,,,,,,,
292,WP,3880/2023,2023,202327725,,,,,,,,
293,WP,2033/2020,2020,202020388,,,,,,,,
294,WP,37332/2021,2021,202222931,,,,,,,,
295,WP,8889/2023,2023,202327953,,,,,,,,
296,WP,13994/2019,2019,201920101,,,,,,,,
297,WP,8773/2023,2023,202327947,,,,,,,,
298,WP,39386/2022,2022,202224893,,,,,,,,
299,WP,44289/2022,2022,202225022,,,,,,,,
300,WP,13928/2021,2021,202122341,,,,,,,,
301,WP,30766/2023,2023,202328924,,,,,,,,
302,WP,4821/2016,2016,201617909,,,,,,,,
303,WP,26922/2018,2018,201919222,,,,,,,,
304,WP,29957/2022,2022,202224698,,,,,,,,
305,WP,10641/2023,2023,202328044,,,,,,,,
306,WP,5706/2021,2021,202222791,,,,,,,,
307,WP,12069/2021,2021,202122761,,,,,,,,
308,WP,20815/2020,2020,202021568,,,,,,,,
309,WP,6669,2014,201514278,,,,,,,,
310,WP,29553/2023,2023,202328891,,,,,,,,
311,WP,15294/2021,2021,202122108,,,,,,,,
312,WP,37465/2022,2022,202224845,,,,,,,,
313,WP,30598/2023,2023,202328929,,,,,,,,
314,WP,40885/2022,2022,202224923,,,,,,,,
315,WP,21299/2015,2015,201617310,,,,,,,,
316,WP,27065/2023,2023,202328763,,,,,,,,
317,CC,1062/2011,2011,202327624,,,,,,,,
318,WP,30857/2023,2023,202328910,,,,,,,,
319,WP,11938/2021,2021,202122038,,,,,,,,
320,WP,3309/2018,2018,201919255,,,,,,,,
321,WP,46104/2022,2022,202327591,,,,,,,,
322,WP,3219/2019,2020,202020438,,,,,,,,
323,WP,23812/2019,2019,201920025,,,,,,,,
324,WP,44292/2022,2022,202225023,,,,,,,,
325,WP,26570/2023,2023,202328728,,,,,,,,
326,WP,10323/2000,2000,201515066,,,,,,,,
327,WP,8900/2023,2023,202327952,,,,,,,,
328,WP,25067/2023,2023,202328681,,,,,,,,
329,WP,26243/2019,2019,201920169,,,,,,,,
330,WP,26521/2023,2023,202328727,,,,,,,,
331,WP,14146/2021,2021,202122345,,,,,,,,
332,WP,28569/2023,2023,202328817,,,,,,,,
333,WP,29181,2010,201514090,,,,,,,,
334,WP,14926/2019,2019,201920120,,,,,,,,
335,WP,30226/2023,2023,202328936,,,,,,,,
336,WP,29337/2022,2022,202224683,,,,,,,,
337,WP,18880/2018,2018,201919371,,,,,,,,
338,WP,3903/2021,2021,202121869,,,,,,,,
339,WP,9485/2019,2019,201920172,,,,,,,,
340,WP,26514/2023,2023,202328726,,,,,,,,
341,LOK,730/2023,2023,202328974,,,,,,,,
342,WP,36095/2018,2018,201919284,,,,,,,,
343,WP,18978/2021,2021,202122354,,,,,,,,
344,WP,32891/2017,2017,201919209,,,,,,,,
345,WP,30341/2023,2023,202328909,,,,,,,,
346,WP,3579/2019,2019,201920142,,,,,,,,
347,WP,20909/2016,2016,201617923,,,,,,,,
348,WP,24709/2023,2023,202328678,,,,,,,,
349,WP,32729/2022,2022,202224760,,,,,,,,
350,WP,29775/2023,2023,202328855,,,,,,,,
351,WP,6490/2017,2017,201718388,,,,,,,,
352,WP,25771/2023,2023,202328692,,,,,,,,
353,WP,24110/2021,2021,202122434,,,,,,,,
354,WP,13407/2019,2019,201920123,,,,,,,,
355,WP,26279/2023,2023,202328712,,,,,,,,
356,WP,12600/2021,2021,202122079,,,,,,,,
357,WP,33830/2022,2022,202224774,,,,,,,,
358,WP,15818/2019,2019,201920099,,,,,,,,
359,WP,28551/2023,2023,202328811,,,,,,,,
360,WP,25241,2014,201514138,,,,,,,,
